date,dept_id,weekday,month,year,snap_CA,is_event,event_count,is_cultural_event,is_national_event,is_religious_event,is_sport_event,sales_qty,sell_price
2011-04-26,FOODS_1,Tuesday,4,2011,0,1,1,0,0,1,0,222,2.9843442622950818
2011-04-27,FOODS_1,Wednesday,4,2011,0,0,0,0,0,0,0,190,2.9843442622950818
2011-04-28,FOODS_1,Thursday,4,2011,0,0,0,0,0,0,0,230,2.9843442622950818
2011-04-29,FOODS_1,Friday,4,2011,0,0,0,0,0,0,0,202,2.9843442622950818
2011-04-30,FOODS_1,Saturday,4,2011,0,0,0,0,0,0,0,296,2.9843442622950818
2011-05-01,FOODS_1,Sunday,5,2011,1,0,0,0,0,0,0,303,2.9843442622950818
2011-05-02,FOODS_1,Monday,5,2011,1,0,0,0,0,0,0,192,2.9843442622950818
2011-05-03,FOODS_1,Tuesday,5,2011,1,0,0,0,0,0,0,232,2.9843442622950818
2011-05-04,FOODS_1,Wednesday,5,2011,1,0,0,0,0,0,0,205,2.9843442622950818
2011-05-05,FOODS_1,Thursday,5,2011,1,1,1,1,0,0,0,211,2.9843442622950818
2011-05-06,FOODS_1,Friday,5,2011,1,0,0,0,0,0,0,196,2.9843442622950818
2011-05-07,FOODS_1,Saturday,5,2011,1,0,0,0,0,0,0,365,2.975737704918033
2011-05-08,FOODS_1,Sunday,5,2011,1,1,1,1,0,0,0,321,2.975737704918033
2011-05-09,FOODS_1,Monday,5,2011,1,0,0,0,0,0,0,232,2.975737704918033
2011-05-10,FOODS_1,Tuesday,5,2011,1,0,0,0,0,0,0,214,2.975737704918033
2011-05-11,FOODS_1,Wednesday,5,2011,0,0,0,0,0,0,0,268,2.975737704918033
2011-05-12,FOODS_1,Thursday,5,2011,0,0,0,0,0,0,0,357,2.975737704918033
2011-05-13,FOODS_1,Friday,5,2011,0,0,0,0,0,0,0,222,2.975737704918033
2011-05-14,FOODS_1,Saturday,5,2011,0,0,0,0,0,0,0,344,2.975737704918033
2011-05-15,FOODS_1,Sunday,5,2011,0,0,0,0,0,0,0,362,2.975737704918033
2011-05-16,FOODS_1,Monday,5,2011,0,0,0,0,0,0,0,264,2.975737704918033
2011-05-17,FOODS_1,Tuesday,5,2011,0,0,0,0,0,0,0,221,2.975737704918033
2011-05-18,FOODS_1,Wednesday,5,2011,0,0,0,0,0,0,0,222,2.975737704918033
2011-05-19,FOODS_1,Thursday,5,2011,0,0,0,0,0,0,0,190,2.975737704918033
2011-05-20,FOODS_1,Friday,5,2011,0,0,0,0,0,0,0,198,2.975737704918033
2011-05-21,FOODS_1,Saturday,5,2011,0,0,0,0,0,0,0,333,2.9728688524590163
2011-05-22,FOODS_1,Sunday,5,2011,0,0,0,0,0,0,0,278,2.9728688524590163
2011-05-23,FOODS_1,Monday,5,2011,0,0,0,0,0,0,0,244,2.9728688524590163
2011-05-24,FOODS_1,Tuesday,5,2011,0,0,0,0,0,0,0,172,2.9728688524590163
2011-05-25,FOODS_1,Wednesday,5,2011,0,0,0,0,0,0,0,206,2.9728688524590163
2011-05-26,FOODS_1,Thursday,5,2011,0,0,0,0,0,0,0,219,2.9728688524590163
2011-05-27,FOODS_1,Friday,5,2011,0,0,0,0,0,0,0,180,2.9728688524590163
2011-05-28,FOODS_1,Saturday,5,2011,0,0,0,0,0,0,0,315,3.037704918032787
2011-05-29,FOODS_1,Sunday,5,2011,0,0,0,0,0,0,0,267,3.037704918032787
2011-05-30,FOODS_1,Monday,5,2011,0,1,1,0,1,0,0,255,3.037704918032787
2011-05-31,FOODS_1,Tuesday,5,2011,0,1,1,0,0,0,1,205,3.037704918032787
2011-06-01,FOODS_1,Wednesday,6,2011,1,0,0,0,0,0,0,226,3.037704918032787
2011-06-02,FOODS_1,Thursday,6,2011,1,0,0,0,0,0,0,171,3.037704918032787
2011-06-03,FOODS_1,Friday,6,2011,1,0,0,0,0,0,0,252,3.037704918032787
2011-06-04,FOODS_1,Saturday,6,2011,1,0,0,0,0,0,0,269,3.0315573770491806
2011-06-05,FOODS_1,Sunday,6,2011,1,0,0,0,0,0,0,298,3.0315573770491806
2011-06-06,FOODS_1,Monday,6,2011,1,0,0,0,0,0,0,253,3.0315573770491806
2011-06-07,FOODS_1,Tuesday,6,2011,1,0,0,0,0,0,0,209,3.0315573770491806
2011-06-08,FOODS_1,Wednesday,6,2011,1,0,0,0,0,0,0,272,3.0315573770491806
2011-06-09,FOODS_1,Thursday,6,2011,1,0,0,0,0,0,0,228,3.0315573770491806
2011-06-10,FOODS_1,Friday,6,2011,1,0,0,0,0,0,0,252,3.0315573770491806
2011-06-11,FOODS_1,Saturday,6,2011,0,0,0,0,0,0,0,272,3.033606557377049
2011-06-12,FOODS_1,Sunday,6,2011,0,1,1,0,0,0,1,343,3.033606557377049
2011-06-13,FOODS_1,Monday,6,2011,0,0,0,0,0,0,0,236,3.033606557377049
2011-06-14,FOODS_1,Tuesday,6,2011,0,0,0,0,0,0,0,211,3.033606557377049
2011-06-15,FOODS_1,Wednesday,6,2011,0,0,0,0,0,0,0,205,3.033606557377049
2011-06-16,FOODS_1,Thursday,6,2011,0,0,0,0,0,0,0,255,3.033606557377049
2011-06-17,FOODS_1,Friday,6,2011,0,0,0,0,0,0,0,256,3.033606557377049
2011-06-18,FOODS_1,Saturday,6,2011,0,0,0,0,0,0,0,293,3.033606557377049
2011-06-19,FOODS_1,Sunday,6,2011,0,1,1,1,0,0,0,251,3.033606557377049
2011-06-20,FOODS_1,Monday,6,2011,0,0,0,0,0,0,0,224,3.033606557377049
2011-06-21,FOODS_1,Tuesday,6,2011,0,0,0,0,0,0,0,190,3.033606557377049
2011-06-22,FOODS_1,Wednesday,6,2011,0,0,0,0,0,0,0,223,3.033606557377049
2011-06-23,FOODS_1,Thursday,6,2011,0,0,0,0,0,0,0,222,3.033606557377049
2011-06-24,FOODS_1,Friday,6,2011,0,0,0,0,0,0,0,236,3.033606557377049
2011-06-25,FOODS_1,Saturday,6,2011,0,0,0,0,0,0,0,301,3.034098360655738
2011-06-26,FOODS_1,Sunday,6,2011,0,0,0,0,0,0,0,245,3.034098360655738
2011-06-27,FOODS_1,Monday,6,2011,0,0,0,0,0,0,0,182,3.034098360655738
2011-06-28,FOODS_1,Tuesday,6,2011,0,0,0,0,0,0,0,205,3.034098360655738
2011-06-29,FOODS_1,Wednesday,6,2011,0,0,0,0,0,0,0,265,3.034098360655738
2011-06-30,FOODS_1,Thursday,6,2011,0,0,0,0,0,0,0,271,3.034098360655738
2011-07-01,FOODS_1,Friday,7,2011,1,0,0,0,0,0,0,292,3.034098360655738
2011-07-02,FOODS_1,Saturday,7,2011,1,0,0,0,0,0,0,382,3.0562601626016264
2011-07-03,FOODS_1,Sunday,7,2011,1,0,0,0,0,0,0,312,3.0562601626016264
2011-07-04,FOODS_1,Monday,7,2011,1,1,1,0,1,0,0,261,3.0562601626016264
2011-07-05,FOODS_1,Tuesday,7,2011,1,0,0,0,0,0,0,256,3.0562601626016264
2011-07-06,FOODS_1,Wednesday,7,2011,1,0,0,0,0,0,0,281,3.0562601626016264
2011-07-07,FOODS_1,Thursday,7,2011,1,0,0,0,0,0,0,326,3.0562601626016264
2011-07-08,FOODS_1,Friday,7,2011,1,0,0,0,0,0,0,321,3.0562601626016264
2011-07-09,FOODS_1,Saturday,7,2011,1,0,0,0,0,0,0,341,3.059918699186992
2011-07-10,FOODS_1,Sunday,7,2011,1,0,0,0,0,0,0,314,3.059918699186992
2011-07-11,FOODS_1,Monday,7,2011,0,0,0,0,0,0,0,213,3.059918699186992
2011-07-12,FOODS_1,Tuesday,7,2011,0,0,0,0,0,0,0,197,3.059918699186992
2011-07-13,FOODS_1,Wednesday,7,2011,0,0,0,0,0,0,0,251,3.059918699186992
2011-07-14,FOODS_1,Thursday,7,2011,0,0,0,0,0,0,0,215,3.059918699186992
2011-07-15,FOODS_1,Friday,7,2011,0,0,0,0,0,0,0,229,3.059918699186992
2011-07-16,FOODS_1,Saturday,7,2011,0,0,0,0,0,0,0,357,3.076260162601626
2011-07-17,FOODS_1,Sunday,7,2011,0,0,0,0,0,0,0,234,3.076260162601626
2011-07-18,FOODS_1,Monday,7,2011,0,0,0,0,0,0,0,241,3.076260162601626
2011-07-19,FOODS_1,Tuesday,7,2011,0,0,0,0,0,0,0,189,3.076260162601626
2011-07-20,FOODS_1,Wednesday,7,2011,0,0,0,0,0,0,0,214,3.076260162601626
2011-07-21,FOODS_1,Thursday,7,2011,0,0,0,0,0,0,0,224,3.076260162601626
2011-07-22,FOODS_1,Friday,7,2011,0,0,0,0,0,0,0,324,3.076260162601626
2011-07-23,FOODS_1,Saturday,7,2011,0,0,0,0,0,0,0,382,3.076260162601626
2011-07-24,FOODS_1,Sunday,7,2011,0,0,0,0,0,0,0,294,3.076260162601626
2011-07-25,FOODS_1,Monday,7,2011,0,0,0,0,0,0,0,229,3.076260162601626
2011-07-26,FOODS_1,Tuesday,7,2011,0,0,0,0,0,0,0,215,3.076260162601626
2011-07-27,FOODS_1,Wednesday,7,2011,0,0,0,0,0,0,0,197,3.076260162601626
2011-07-28,FOODS_1,Thursday,7,2011,0,0,0,0,0,0,0,207,3.076260162601626
2011-07-29,FOODS_1,Friday,7,2011,0,0,0,0,0,0,0,249,3.076260162601626
2011-07-30,FOODS_1,Saturday,7,2011,0,0,0,0,0,0,0,328,3.238
2011-07-31,FOODS_1,Sunday,7,2011,0,0,0,0,0,0,0,273,3.238
2011-08-01,FOODS_1,Monday,8,2011,1,1,1,0,0,1,0,202,3.238
2011-08-02,FOODS_1,Tuesday,8,2011,1,0,0,0,0,0,0,194,3.238
2011-08-03,FOODS_1,Wednesday,8,2011,1,0,0,0,0,0,0,202,3.238
2011-08-04,FOODS_1,Thursday,8,2011,1,0,0,0,0,0,0,281,3.238
2011-08-05,FOODS_1,Friday,8,2011,1,0,0,0,0,0,0,172,3.238
2011-08-06,FOODS_1,Saturday,8,2011,1,0,0,0,0,0,0,226,3.2713076923076922
2011-08-07,FOODS_1,Sunday,8,2011,1,0,0,0,0,0,0,357,3.2713076923076922
2011-08-08,FOODS_1,Monday,8,2011,1,0,0,0,0,0,0,261,3.2713076923076922
2011-08-09,FOODS_1,Tuesday,8,2011,1,0,0,0,0,0,0,248,3.2713076923076922
2011-08-10,FOODS_1,Wednesday,8,2011,1,0,0,0,0,0,0,214,3.2713076923076922
2011-08-11,FOODS_1,Thursday,8,2011,0,0,0,0,0,0,0,186,3.2713076923076922
2011-08-12,FOODS_1,Friday,8,2011,0,0,0,0,0,0,0,224,3.2713076923076922
2011-08-13,FOODS_1,Saturday,8,2011,0,0,0,0,0,0,0,271,3.2755384615384613
2011-08-14,FOODS_1,Sunday,8,2011,0,0,0,0,0,0,0,298,3.2755384615384613
2011-08-15,FOODS_1,Monday,8,2011,0,0,0,0,0,0,0,267,3.2755384615384613
2011-08-16,FOODS_1,Tuesday,8,2011,0,0,0,0,0,0,0,202,3.2755384615384613
2011-08-17,FOODS_1,Wednesday,8,2011,0,0,0,0,0,0,0,216,3.2755384615384613
2011-08-18,FOODS_1,Thursday,8,2011,0,0,0,0,0,0,0,177,3.2755384615384613
2011-08-19,FOODS_1,Friday,8,2011,0,0,0,0,0,0,0,239,3.2755384615384613
2011-08-20,FOODS_1,Saturday,8,2011,0,0,0,0,0,0,0,327,3.2703846153846152
2011-08-21,FOODS_1,Sunday,8,2011,0,0,0,0,0,0,0,322,3.2703846153846152
2011-08-22,FOODS_1,Monday,8,2011,0,0,0,0,0,0,0,204,3.2703846153846152
2011-08-23,FOODS_1,Tuesday,8,2011,0,0,0,0,0,0,0,188,3.2703846153846152
2011-08-24,FOODS_1,Wednesday,8,2011,0,0,0,0,0,0,0,160,3.2703846153846152
2011-08-25,FOODS_1,Thursday,8,2011,0,0,0,0,0,0,0,140,3.2703846153846152
2011-08-26,FOODS_1,Friday,8,2011,0,0,0,0,0,0,0,231,3.2703846153846152
2011-08-27,FOODS_1,Saturday,8,2011,0,0,0,0,0,0,0,299,3.3281538461538465
2011-08-28,FOODS_1,Sunday,8,2011,0,0,0,0,0,0,0,272,3.3281538461538465
2011-08-29,FOODS_1,Monday,8,2011,0,0,0,0,0,0,0,234,3.3281538461538465
2011-08-30,FOODS_1,Tuesday,8,2011,0,0,0,0,0,0,0,247,3.3281538461538465
2011-08-31,FOODS_1,Wednesday,8,2011,0,1,1,0,0,1,0,219,3.3281538461538465
2011-09-01,FOODS_1,Thursday,9,2011,1,0,0,0,0,0,0,302,3.3281538461538465
2011-09-02,FOODS_1,Friday,9,2011,1,0,0,0,0,0,0,316,3.3281538461538465
2011-09-03,FOODS_1,Saturday,9,2011,1,0,0,0,0,0,0,347,3.340692307692308
2011-09-04,FOODS_1,Sunday,9,2011,1,0,0,0,0,0,0,318,3.340692307692308
2011-09-05,FOODS_1,Monday,9,2011,1,1,1,0,1,0,0,316,3.340692307692308
2011-09-06,FOODS_1,Tuesday,9,2011,1,0,0,0,0,0,0,291,3.340692307692308
2011-09-07,FOODS_1,Wednesday,9,2011,1,0,0,0,0,0,0,182,3.340692307692308
2011-09-08,FOODS_1,Thursday,9,2011,1,0,0,0,0,0,0,250,3.340692307692308
2011-09-09,FOODS_1,Friday,9,2011,1,0,0,0,0,0,0,241,3.340692307692308
2011-09-10,FOODS_1,Saturday,9,2011,1,0,0,0,0,0,0,253,3.3550769230769233
2011-09-11,FOODS_1,Sunday,9,2011,0,0,0,0,0,0,0,287,3.3550769230769233
2011-09-12,FOODS_1,Monday,9,2011,0,0,0,0,0,0,0,233,3.3550769230769233
2011-09-13,FOODS_1,Tuesday,9,2011,0,0,0,0,0,0,0,228,3.3550769230769233
2011-09-14,FOODS_1,Wednesday,9,2011,0,0,0,0,0,0,0,242,3.3550769230769233
2011-09-15,FOODS_1,Thursday,9,2011,0,0,0,0,0,0,0,245,3.3550769230769233
2011-09-16,FOODS_1,Friday,9,2011,0,0,0,0,0,0,0,270,3.3550769230769233
2011-09-17,FOODS_1,Saturday,9,2011,0,0,0,0,0,0,0,346,3.3550769230769233
2011-09-18,FOODS_1,Sunday,9,2011,0,0,0,0,0,0,0,310,3.3550769230769233
2011-09-19,FOODS_1,Monday,9,2011,0,0,0,0,0,0,0,228,3.3550769230769233
2011-09-20,FOODS_1,Tuesday,9,2011,0,0,0,0,0,0,0,207,3.3550769230769233
2011-09-21,FOODS_1,Wednesday,9,2011,0,0,0,0,0,0,0,248,3.3550769230769233
2011-09-22,FOODS_1,Thursday,9,2011,0,0,0,0,0,0,0,220,3.3550769230769233
2011-09-23,FOODS_1,Friday,9,2011,0,0,0,0,0,0,0,252,3.3550769230769233
2011-09-24,FOODS_1,Saturday,9,2011,0,0,0,0,0,0,0,289,3.3616153846153844
2011-09-25,FOODS_1,Sunday,9,2011,0,0,0,0,0,0,0,280,3.3616153846153844
2011-09-26,FOODS_1,Monday,9,2011,0,0,0,0,0,0,0,216,3.3616153846153844
2011-09-27,FOODS_1,Tuesday,9,2011,0,0,0,0,0,0,0,165,3.3616153846153844
2011-09-28,FOODS_1,Wednesday,9,2011,0,0,0,0,0,0,0,168,3.3616153846153844
2011-09-29,FOODS_1,Thursday,9,2011,0,0,0,0,0,0,0,160,3.3616153846153844
2011-09-30,FOODS_1,Friday,9,2011,0,0,0,0,0,0,0,258,3.3616153846153844
2011-10-01,FOODS_1,Saturday,10,2011,1,0,0,0,0,0,0,342,3.3473846153846156
2011-10-02,FOODS_1,Sunday,10,2011,1,0,0,0,0,0,0,367,3.3473846153846156
2011-10-03,FOODS_1,Monday,10,2011,1,0,0,0,0,0,0,316,3.3473846153846156
2011-10-04,FOODS_1,Tuesday,10,2011,1,0,0,0,0,0,0,314,3.3473846153846156
2011-10-05,FOODS_1,Wednesday,10,2011,1,0,0,0,0,0,0,264,3.3473846153846156
2011-10-06,FOODS_1,Thursday,10,2011,1,0,0,0,0,0,0,300,3.3473846153846156
2011-10-07,FOODS_1,Friday,10,2011,1,0,0,0,0,0,0,351,3.3473846153846156
2011-10-08,FOODS_1,Saturday,10,2011,1,0,0,0,0,0,0,362,3.3581538461538463
2011-10-09,FOODS_1,Sunday,10,2011,1,0,0,0,0,0,0,426,3.3581538461538463
2011-10-10,FOODS_1,Monday,10,2011,1,1,1,0,1,0,0,270,3.3581538461538463
2011-10-11,FOODS_1,Tuesday,10,2011,0,0,0,0,0,0,0,292,3.3581538461538463
2011-10-12,FOODS_1,Wednesday,10,2011,0,0,0,0,0,0,0,248,3.3581538461538463
2011-10-13,FOODS_1,Thursday,10,2011,0,0,0,0,0,0,0,303,3.3581538461538463
2011-10-14,FOODS_1,Friday,10,2011,0,0,0,0,0,0,0,315,3.3581538461538463
2011-10-15,FOODS_1,Saturday,10,2011,0,0,0,0,0,0,0,504,3.4052272727272728
2011-10-16,FOODS_1,Sunday,10,2011,0,0,0,0,0,0,0,367,3.4052272727272728
2011-10-17,FOODS_1,Monday,10,2011,0,0,0,0,0,0,0,253,3.4052272727272728
2011-10-18,FOODS_1,Tuesday,10,2011,0,0,0,0,0,0,0,264,3.4052272727272728
2011-10-19,FOODS_1,Wednesday,10,2011,0,0,0,0,0,0,0,240,3.4052272727272728
2011-10-20,FOODS_1,Thursday,10,2011,0,0,0,0,0,0,0,254,3.4052272727272728
2011-10-21,FOODS_1,Friday,10,2011,0,0,0,0,0,0,0,244,3.4052272727272728
2011-10-22,FOODS_1,Saturday,10,2011,0,0,0,0,0,0,0,393,3.401439393939394
2011-10-23,FOODS_1,Sunday,10,2011,0,0,0,0,0,0,0,316,3.401439393939394
2011-10-24,FOODS_1,Monday,10,2011,0,0,0,0,0,0,0,217,3.401439393939394
2011-10-25,FOODS_1,Tuesday,10,2011,0,0,0,0,0,0,0,297,3.401439393939394
2011-10-26,FOODS_1,Wednesday,10,2011,0,0,0,0,0,0,0,246,3.401439393939394
2011-10-27,FOODS_1,Thursday,10,2011,0,0,0,0,0,0,0,246,3.401439393939394
2011-10-28,FOODS_1,Friday,10,2011,0,0,0,0,0,0,0,344,3.401439393939394
2011-10-29,FOODS_1,Saturday,10,2011,0,0,0,0,0,0,0,385,3.3915037593984962
2011-10-30,FOODS_1,Sunday,10,2011,0,0,0,0,0,0,0,474,3.3915037593984962
2011-10-31,FOODS_1,Monday,10,2011,0,1,1,1,0,0,0,424,3.3915037593984962
2011-11-01,FOODS_1,Tuesday,11,2011,1,0,0,0,0,0,0,208,3.3915037593984962
2011-11-02,FOODS_1,Wednesday,11,2011,1,0,0,0,0,0,0,199,3.3915037593984962
2011-11-03,FOODS_1,Thursday,11,2011,1,0,0,0,0,0,0,205,3.3915037593984962
2011-11-04,FOODS_1,Friday,11,2011,1,0,0,0,0,0,0,299,3.3915037593984962
2011-11-05,FOODS_1,Saturday,11,2011,1,0,0,0,0,0,0,318,3.417593984962406
2011-11-06,FOODS_1,Sunday,11,2011,1,0,0,0,0,0,0,386,3.417593984962406
2011-11-07,FOODS_1,Monday,11,2011,1,1,1,0,0,1,0,248,3.417593984962406
2011-11-08,FOODS_1,Tuesday,11,2011,1,0,0,0,0,0,0,335,3.417593984962406
2011-11-09,FOODS_1,Wednesday,11,2011,1,0,0,0,0,0,0,244,3.417593984962406
2011-11-10,FOODS_1,Thursday,11,2011,1,0,0,0,0,0,0,284,3.417593984962406
2011-11-11,FOODS_1,Friday,11,2011,0,1,1,0,1,0,0,268,3.417593984962406
